ticker,side,entry,exit,days,return
AAPL,LONG,2020-01-28,2020-01-28,1,0.0
AAPL,SHORT,2020-01-29,2020-01-31,3,0.04572358247428743
AAPL,LONG,2020-02-03,2020-02-04,2,0.03301367951955725
AAPL,SHORT,2020-02-05,2020-02-18,14,0.007621751793411957
AAPL,LONG,2020-02-19,2020-02-19,1,0.0
AAPL,SHORT,2020-02-20,2020-02-21,2,0.02263503052234317
AAPL,LONG,2020-02-24,2020-03-02,8,0.002112834188367385
AAPL,SHORT,2020-03-03,2020-03-05,3,-0.012442990503181317
AAPL,SHORT,2020-03-06,2020-03-13,8,0.03826591566724935
AAPL,SHORT,2020-03-16,2020-03-16,1,-0.0
AAPL,SHORT,2020-03-17,2020-03-24,8,0.023649433335065195
AAPL,SHORT,2020-03-25,2020-03-27,3,-0.009042038050144141
AAPL,SHORT,2020-03-30,2020-03-30,1,-0.0
AAPL,SHORT,2020-03-31,2020-03-31,1,-0.0
AAPL,SHORT,2020-04-01,2020-04-06,6,-0.08949399041491413
AAPL,SHORT,2020-04-07,2020-04-17,11,-0.09008208679400376
AAPL,SHORT,2020-04-20,2020-06-11,53,-0.2129419087146074
AAPL,LONG,2020-06-12,2020-06-12,1,0.0
AAPL,SHORT,2020-06-15,2020-06-26,12,-0.031021356166011982
AAPL,LONG,2020-06-29,2020-06-29,1,0.0
AAPL,SHORT,2020-06-30,2020-07-23,24,-0.01803732815248349
AAPL,LONG,2020-07-24,2020-07-27,4,0.023700261787544585
AAPL,SHORT,2020-07-28,2020-07-28,1,-0.0
AAPL,LONG,2020-07-29,2020-07-29,1,0.0
AAPL,SHORT,2020-07-30,2020-07-30,1,-0.0
MSFT,LONG,2020-01-27,2020-01-28,2,0.019595809455823066
MSFT,SHORT,2020-01-29,2020-02-13,16,-0.09325169039403614
MSFT,LONG,2020-02-14,2020-02-14,1,0.0
MSFT,SHORT,2020-02-18,2020-02-21,4,0.04614644868240847
MSFT,LONG,2020-02-24,2020-03-02,8,0.011118227533913005
MSFT,SHORT,2020-03-03,2020-03-03,1,-0.0
MSFT,SHORT,2020-03-04,2020-03-04,1,-0.0
MSFT,SHORT,2020-03-05,2020-03-05,1,-0.0
MSFT,SHORT,2020-03-06,2020-03-13,8,0.016958627028256235
MSFT,SHORT,2020-03-16,2020-03-16,1,-0.0
MSFT,SHORT,2020-03-17,2020-03-24,8,-0.012076065533356939
MSFT,SHORT,2020-03-25,2020-03-27,3,-0.01892185416514991
MSFT,SHORT,2020-03-30,2020-03-30,1,-0.0
MSFT,SHORT,2020-03-31,2020-04-01,2,0.03550824846311562
MSFT,SHORT,2020-04-02,2020-04-06,5,-0.06447256292530823
MSFT,SHORT,2020-04-07,2020-04-13,7,-0.012355428135063296
MSFT,SHORT,2020-04-14,2020-04-14,1,-0.0
MSFT,SHORT,2020-04-15,2020-04-20,6,-0.018501236824779888
MSFT,SHORT,2020-04-21,2020-04-28,8,-0.011857884325618295
MSFT,LONG,2020-04-29,2020-04-29,1,0.0
MSFT,SHORT,2020-04-30,2020-05-12,13,-0.01841408219038576
MSFT,LONG,2020-05-13,2020-05-15,3,0.01897081314108129
MSFT,SHORT,2020-05-18,2020-05-26,9,0.018062821219742564
MSFT,LONG,2020-05-27,2020-05-29,3,0.007920369950734862
MSFT,SHORT,2020-06-01,2020-06-11,11,-0.018815306060025128
MSFT,LONG,2020-06-12,2020-06-15,4,0.0063918020300999245
MSFT,SHORT,2020-06-16,2020-06-26,11,-0.0142583788934465
MSFT,LONG,2020-06-29,2020-06-29,1,0.0
MSFT,SHORT,2020-06-30,2020-07-13,14,-0.017493061340843497
MSFT,LONG,2020-07-14,2020-07-20,7,0.015598751642873943
MSFT,SHORT,2020-07-21,2020-07-23,3,0.029748535156249978
MSFT,LONG,2020-07-24,2020-07-29,6,0.013710851788344414
MSFT,SHORT,2020-07-30,2020-07-30,1,-0.0
SBUX,LONG,2020-01-27,2020-02-03,8,-0.03065480804459564
SBUX,SHORT,2020-02-04,2020-02-20,17,-0.0024892648510985715
SBUX,LONG,2020-02-21,2020-03-02,11,-0.05700553253365592
SBUX,SHORT,2020-03-03,2020-03-03,1,-0.0
SBUX,SHORT,2020-03-04,2020-03-24,21,0.18564078392677008
SBUX,SHORT,2020-03-25,2020-03-30,6,-0.031150328640152214
SBUX,SHORT,2020-03-31,2020-04-06,7,-0.031183497389305703
SBUX,SHORT,2020-04-07,2020-04-15,9,-0.05588712004731988
SBUX,SHORT,2020-04-16,2020-04-17,2,-0.048836841702678324
SBUX,SHORT,2020-04-20,2020-04-21,2,0.034519363843010686
SBUX,SHORT,2020-04-22,2020-04-22,1,-0.0
SBUX,SHORT,2020-04-23,2020-04-23,1,-0.0
SBUX,SHORT,2020-04-24,2020-05-01,8,0.02368352569676524
SBUX,LONG,2020-05-04,2020-05-07,4,0.05717068639930134
SBUX,SHORT,2020-05-08,2020-05-12,5,0.04520359764101123
SBUX,LONG,2020-05-13,2020-05-15,3,0.0073349754873843764
SBUX,SHORT,2020-05-18,2020-06-10,24,-0.03646856430374301
SBUX,LONG,2020-06-11,2020-06-15,5,0.0604933086414432
SBUX,SHORT,2020-06-16,2020-06-19,4,0.03134628631558645
SBUX,LONG,2020-06-22,2020-06-23,2,0.001193585359010152
SBUX,SHORT,2020-06-24,2020-06-24,1,-0.0
SBUX,LONG,2020-06-25,2020-06-29,5,-0.005010089706598331
SBUX,SHORT,2020-06-30,2020-07-09,10,0.00027173045334305534
SBUX,LONG,2020-07-10,2020-07-10,1,0.0
SBUX,SHORT,2020-07-13,2020-07-13,1,-0.0
SBUX,LONG,2020-07-14,2020-07-15,2,0.03959847546388717
SBUX,SHORT,2020-07-16,2020-07-28,13,-0.003360666783857935
SBUX,LONG,2020-07-29,2020-07-29,1,0.0
SBUX,SHORT,2020-07-30,2020-07-30,1,-0.0
